***Fleet composition (%)***			
F_Type	1	2	3
****************************			
*LEVEL1 - FUEL distribution*			
****************************			
k253	0.00	0.00	0.00
k254	15.90	15.90	15.90
k255	17.80	17.80	17.80
Total	100.00%	100.00%	100.00%
*Heavy duty vehicles -Diesel -Euro4			
k256	4.60	4.60	4.60
k257	5.20	5.20	5.20
k258	8.80	8.80	8.80
k259	8.70	8.70	8.70
k260	9.80	9.80	9.80
k261	9.80	9.80	9.80
k262	9.20	9.20	9.20
k263	9.80	9.80	9.80
k264	0.00	0.00	0.00
k265	0.00	0.00	0.00
k266	0.00	0.00	0.00
k267	0.00	0.00	0.00
k268	16.80	16.80	16.80
k269	17.30	17.30	17.30
Total	100.00%	100.00%	100.00%
*Heavy duty vehicles -Diesel -Euro5			
k270	6.40	6.40	6.40
k271	6.60	6.60	6.60
k272	9.80	9.80	9.80
k273	9.20	9.20	9.20
k274	14.60	14.60	14.60
k275	13.80	13.80	13.80
k276	0.00	0.00	0.00
k277	14.20	14.20	14.20
k278	0.00	0.00	0.00
k279	0.00	0.00	0.00
k280	0.00	0.00	0.00
k281	0.00	0.00	0.00
k282	0.00	0.00	0.00
k283	25.40	25.40	25.40
Total	100.00%	100.00%	100.00%
*Heavy duty vehicles -Diesel -Euro6			
k284	9.30	9.30	9.30
k285	9.10	9.10	9.10
k286	10.00	10.00	10.00
k287	10.10	10.10	10.10
k288	0.00	0.00	0.00
k289	9.50	9.50	9.50
k290	9.00	9.00	9.00
k291	9.60	9.60	9.60
k292	0.00	0.00	0.00
k293	0.00	0.00	0.00
k294	0.00	0.00	0.00
k295	0.00	0.00	0.00
k296	0.00	0.00	0.00
k297	33.40	33.40	33.40
Total	100.00%	100.00%	100.00%
*Urban buses -Diesel -Euro0			
k300	16.40	16.40	16.40
k301	82.70	82.70	82.70
k302	0.90	0.90	0.90
Total	100.00%	100.00%	100.00%
*Urban buses -Diesel -Euro1			
k303	16.40	16.40	16.40
k304	82.70	82.70	82.70
k305	0.90	0.90	0.90
Total	100.00%	100.00%	100.00%
*Urban buses -Diesel -Euro2			
k306	16.40	16.40	16.40
k307	82.70	82.70	82.70
k308	0.90	0.90	0.90
Total	100.00%	100.00%	100.00%
*Urban buses -Diesel -Euro3			
k309	16.40	16.40	16.40
k310	82.70	82.70	82.70
k311	0.90	0.90	0.90
Total	100.00%	100.00%	100.00%
*Urban buses -Diesel -Euro4			
k312	16.40	16.40	16.40
k313	82.70	82.70	82.70
k314	0.90	0.90	0.90
Total	100.00%	100.00%	100.00%
*Urban buses -Diesel -Euro5			
k315	16.40	16.40	16.40
k316	82.70	82.70	82.70
k317	0.90	0.90	0.90
Total	100.00%	100.00%	100.00%
*Urban buses -Diesel -Euro6			
k318	16.40	16.40	16.40
k319	82.70	82.70	82.70
k320	0.90	0.90	0.90
Total	100.00%	100.00%	100.00%
*Urban buses -New -Euro0			
k321	33.30	33.30	33.30
k322	33.40	33.40	33.40
k323	33.30	33.30	33.30
Total	100.00%	100.00%	100.00%
*Urban buses -New -Euro1			
k324	33.30	33.30	33.30
k325	33.40	33.40	33.40
k326	33.30	33.30	33.30
Total	100.00%	100.00%	100.00%
*Urban buses -New -Euro2			
k327	33.30	33.30	33.30
k328	33.40	33.40	33.40
k329	33.30	33.30	33.30
Total	100.00%	100.00%	100.00%
*Urban buses -New -Euro3			
k330	33.30	33.30	33.30
k331	33.40	33.40	33.40
k332	33.30	33.30	33.30
Total	100.00%	100.00%	100.00%
*Urban buses -New -Euro4			
k333	33.30	33.30	33.30
k334	33.40	33.40	33.40
k335	33.30	33.30	33.30
Total	100.00%	100.00%	100.00%
*Urban buses -New -Euro5			
k336	33.30	33.30	33.30
k337	33.40	33.40	33.40
k338	33.30	33.30	33.30
Total	100.00%	100.00%	100.00%
*Urban buses -New -Euro6			
k339	33.30	33.30	33.30
k340	33.40	33.40	33.40
k341	33.30	33.30	33.30
Total	100.00%	100.00%	100.00%
*Coaches -Diesel -Euro0			
k400	50.00	50.00	50.00
k401	50.00	50.00	50.00
Total	100.00%	100.00%	100.00%
*Coaches -Diesel -Euro1			
k402	50.00	50.00	50.00
k403	50.00	50.00	50.00
Total	100.00%	100.00%	100.00%
*Coaches -Diesel -Euro2			
k404	50.00	50.00	50.00
k405	50.00	50.00	50.00
Total	100.00%	100.00%	100.00%
*Coaches -Diesel -Euro3			
k406	50.00	50.00	50.00
k407	50.00	50.00	50.00
Total	100.00%	100.00%	100.00%
*Coaches -Diesel -Euro4			
k408	50.00	50.00	50.00
k409	50.00	50.00	50.00
Total	100.00%	100.00%	100.00%
*Coaches -Diesel -Euro5			
k410	50.00	50.00	50.00
k411	50.00	50.00	50.00
Total	100.00%	100.00%	100.00%
*Coaches -Diesel -Euro6			
k412	50.00	50.00	50.00
k413	50.00	50.00	50.00
Total	100.00%	100.00%	100.00%
*Coaches -New -Euro0			
k414	50.00	50.00	50.00
k415	50.00	50.00	50.00
Total	100.00%	100.00%	100.00%
*Coaches -New -Euro1			
k416	50.00	50.00	50.00
k417	50.00	50.00	50.00
Total	100.00%	100.00%	100.00%
*Coaches -New -Euro2			
k418	50.00	50.00	50.00
k419	50.00	50.00	50.00
Total	100.00%	100.00%	100.00%
*Coaches -New -Euro3			
k420	50.00	50.00	50.00
k421	50.00	50.00	50.00
Total	100.00%	100.00%	100.00%
*Coaches -New -Euro4			
k422	50.00	50.00	50.00
k423	50.00	50.00	50.00
Total	100.00%	100.00%	100.00%
*Coaches -New -Euro5			
k424	50.00	50.00	50.00
k425	50.00	50.00	50.00
Total	100.00%	100.00%	100.00%
*Coaches -New -Euro6			
k426	50.00	50.00	50.00
k427	50.00	50.00	50.00
Total	100.00%	100.00%	100.00%
*Motorcycles -Euro0			
k500	25.00	25.00	25.00
k501	25.00	25.00	25.00
k502	25.00	25.00	25.00
k503	25.00	25.00	25.00
Total	100.00%	100.00%	100.00%
*Motorcycles -Euro1			
k504	25.00	25.00	25.00
k505	25.00	25.00	25.00
k506	25.00	25.00	25.00
k507	25.00	25.00	25.00
Total	100.00%	100.00%	100.00%
*Motorcycles -Euro2			
k508	25.00	25.00	25.00
k509	25.00	25.00	25.00
k510	25.00	25.00	25.00
k511	25.00	25.00	25.00
Total	100.00%	100.00%	100.00%
*Motorcycles -Euro3			
k512	25.00	25.00	25.00
k513	25.00	25.00	25.00
k514	25.00	25.00	25.00
k515	25.00	25.00	25.00
Total	100.00%	100.00%	100.00%
*Motorcycles -Euro4			
k516	25.00	25.00	25.00
k517	25.00	25.00	25.00
k518	25.00	25.00	25.00
k519	25.00	25.00	25.00
Total	100.00%	100.00%	100.00%
*Motorcycles -Euro5			
k520	25.00	25.00	25.00
k521	25.00	25.00	25.00
k522	25.00	25.00	25.00
k523	25.00	25.00	25.00
Total	100.00%	100.00%	100.00%
****************************			
